coverage_point,status
level2_walk,COVERED
read_translation,COVERED
tlb_hit,COVERED
write_translation,COVERED
permission_fault,COVERED
user_fault,COVERED
invalid_l1,COVERED
invalid_l2,COVERED
walk_access_fault,COVERED
superpage,COVERED
asid_isolation,COVERED
asid_invalidate,COVERED
global_invalidate,COVERED
round_robin_replacement,COVERED
ptw_backpressure,COVERED
response_backpressure,COVERED
fault_no_paddr,COVERED
one_response_per_request,COVERED
reset_clean,COVERED
